phone_2,phone_1,by,score,n
ʌ,ɛ,b_t,1.0,30
ʌ,ɪ,b_t,0.9619047619050001,630
ʌ,iː,b_t,1.0,300
ʌ,uː,b_t,1.0,30
æ,ɪ,l_ng,0.927083333333,960
æ,ɒ,l_ng,1.0,8
ɪ,æ,l_ng,1.0,192
ɪ,ɒ,l_ng,1.0,32
ɒ,æ,l_ng,1.0,24
ɒ,ɪ,l_ng,0.995833333333,480
æ,ɪ,m_lw,1.0,12
æ,ʌ,m_lw,0.5,2
ɛɪ,ɪ,m_lw,1.0,12
ɛɪ,ʌ,m_lw,1.0,2
ɪ,ʌ,m_lw,1.0,8
ɔː,ɪ,m_lw,1.0,12
ɔː,ʌ,m_lw,0.5,2
ʌ,ɪ,m_lw,1.0,24
ʃ,iː,dh_e@,1.0,20
l,j,p_U@,1.0,2
ə,ʊ,p_n,0.97619047619,42
ə,æ,p_n,1.0,252
ə,aʊ,p_n,0.999567099567,2310
ə,ɛ,p_n,0.904761904762,420
ə,ɛɪ,p_n,1.0,882
ə,ɪ,p_n,0.43650793650799996,126
ə,ɒ,p_n,1.0,126
ə,ɔɪ,p_n,1.0,420
ə,ʌ,p_n,0.714285714286,42
ʊ,ə,p_n,0.497619047619,840
ʊ,æ,p_n,1.0,24
ʊ,aʊ,p_n,1.0,220
ʊ,ɛ,p_n,0.875,40
ʊ,ɛɪ,p_n,1.0,84
ʊ,ɪ,p_n,0.5,12
ʊ,ɒ,p_n,1.0,12
ʊ,ɔɪ,p_n,0.95,40
ʊ,ʌ,p_n,0.0,4
æ,ə,p_n,0.739285714286,1680
æ,ʊ,p_n,1.0,8
æ,aʊ,p_n,0.802272727273,440
æ,ɛ,p_n,0.55,80
æ,ɛɪ,p_n,1.0,168
æ,ɪ,p_n,0.416666666667,24
æ,ɒ,p_n,0.958333333333,24
æ,ɔɪ,p_n,1.0,80
æ,ʌ,p_n,0.0,8
aʊ,ə,p_n,0.826623376623,4620
aʊ,ʊ,p_n,1.0,22
aʊ,æ,p_n,0.75,132
aʊ,ɛ,p_n,0.763636363636,220
aʊ,ɛɪ,p_n,1.0,462
aʊ,ɪ,p_n,0.484848484848,66
aʊ,ɒ,p_n,1.0,66
aʊ,ɔɪ,p_n,1.0,220
aʊ,ʌ,p_n,0.636363636364,22
aɪ,ə,p_n,0.821428571429,420
aɪ,ʊ,p_n,1.0,2
aɪ,æ,p_n,0.833333333333,12
aɪ,aʊ,p_n,0.9,110
aɪ,ɛ,p_n,0.6,20
aɪ,ɛɪ,p_n,1.0,42
aɪ,ɪ,p_n,0.666666666667,6
aɪ,ɒ,p_n,1.0,6
aɪ,ɔɪ,p_n,1.0,20
aɪ,ʌ,p_n,1.0,2
ɛ,ə,p_n,0.714285714286,2100
ɛ,ʊ,p_n,1.0,10
ɛ,æ,p_n,0.8833333333329999,60
ɛ,aʊ,p_n,0.989090909091,550
ɛ,ɛɪ,p_n,0.9571428571430001,210
ɛ,ɪ,p_n,0.33333333333299997,30
ɛ,ɒ,p_n,1.0,30
ɛ,ɔɪ,p_n,0.99,100
ɛ,ʌ,p_n,0.6,10
ɛɪ,ə,p_n,0.810544217687,2940
ɛɪ,ʊ,p_n,1.0,14
ɛɪ,æ,p_n,1.0,84
ɛɪ,aʊ,p_n,1.0,770
ɛɪ,ɛ,p_n,0.692857142857,140
ɛɪ,ɪ,p_n,0.33333333333299997,42
ɛɪ,ɒ,p_n,1.0,42
ɛɪ,ɔɪ,p_n,1.0,140
ɛɪ,ʌ,p_n,1.0,14
ɪ,ə,p_n,0.569841269841,1260
ɪ,ʊ,p_n,1.0,6
ɪ,æ,p_n,1.0,36
ɪ,aʊ,p_n,1.0,330
ɪ,ɛ,p_n,0.9666666666670001,60
ɪ,ɛɪ,p_n,1.0,126
ɪ,ɒ,p_n,1.0,18
ɪ,ɔɪ,p_n,1.0,60
ɪ,ʌ,p_n,0.833333333333,6
iː,ə,p_n,0.77380952381,420
iː,ʊ,p_n,1.0,2
iː,æ,p_n,1.0,12
iː,aʊ,p_n,1.0,110
iː,ɛ,p_n,1.0,20
iː,ɛɪ,p_n,1.0,42
iː,ɪ,p_n,0.33333333333299997,6
iː,ɒ,p_n,1.0,6
iː,ɔɪ,p_n,1.0,20
iː,ʌ,p_n,1.0,2
ɒ,ə,p_n,0.835714285714,1260
ɒ,ʊ,p_n,1.0,6
ɒ,æ,p_n,0.805555555556,36
ɒ,aʊ,p_n,0.963636363636,330
ɒ,ɛ,p_n,0.8,60
ɒ,ɛɪ,p_n,1.0,126
ɒ,ɪ,p_n,0.666666666667,18
ɒ,ɔɪ,p_n,1.0,60
ɒ,ʌ,p_n,0.666666666667,6
ɔɪ,ə,p_n,0.7785714285709999,2100
ɔɪ,ʊ,p_n,1.0,10
ɔɪ,æ,p_n,0.983333333333,60
ɔɪ,aʊ,p_n,1.0,550
ɔɪ,ɛ,p_n,0.86,100
ɔɪ,ɛɪ,p_n,1.0,210
ɔɪ,ɪ,p_n,0.5,30
ɔɪ,ɒ,p_n,1.0,30
ɔɪ,ʌ,p_n,0.7,10
ʌ,ə,p_n,0.577380952381,840
ʌ,ʊ,p_n,0.75,4
ʌ,æ,p_n,0.666666666667,24
ʌ,aʊ,p_n,0.95,220
ʌ,ɛ,p_n,0.65,40
ʌ,ɛɪ,p_n,1.0,84
ʌ,ɪ,p_n,0.416666666667,12
ʌ,ɒ,p_n,1.0,12
ʌ,ɔɪ,p_n,1.0,40
ʊə,uː,j_b,0.5,4
ɪə,ʊə,j_b,1.0,2
ɪə,uː,j_b,1.0,2
ɔː,ʊə,j_b,1.0,2
ɔː,uː,j_b,1.0,2
uː,ʊə,j_b,0.5,4
ə,ɑː,j_d,1.0,4
ə,uː,j_d,0.988095238095,84
ɑː,ə,j_d,1.0,4
ɑː,uː,j_d,1.0,84
uː,ə,j_d,1.0,14
uː,ɑː,j_d,1.0,14
",l",ə,f_dh,0.880952380952,420
",l",ɜ:,f_dh,1.0,2
",l",æ,f_dh,1.0,2
",l",ɑː,f_dh,1.0,6
",l",ɔː,f_dh,0.75,12
ə,ɜ:,f_dh,1.0,42
ə,æ,f_dh,1.0,42
ə,ɑː,f_dh,1.0,126
ə,ɔː,f_dh,1.0,252
ɜ:,ə,f_dh,0.891666666667,840
ɜ:,æ,f_dh,1.0,4
ɜ:,ɑː,f_dh,1.0,12
ɜ:,ɔː,f_dh,1.0,24
æ,ə,f_dh,0.765476190476,840
æ,ɜ:,f_dh,0.75,4
æ,ɑː,f_dh,0.75,12
æ,ɔː,f_dh,1.0,24
ɑː,ə,f_dh,0.925396825397,1260
ɑː,ɜ:,f_dh,0.666666666667,6
ɑː,æ,f_dh,1.0,6
ɑː,ɔː,f_dh,1.0,36
ɔː,ə,f_dh,0.9666666666670001,1680
ɔː,ɜ:,f_dh,1.0,8
ɔː,æ,f_dh,1.0,8
ɔː,ɑː,f_dh,1.0,24
ə,ʊə,j_f,0.833333333333,6
ə,uː,j_f,0.75,12
ʊə,uː,j_f,1.0,36
uː,ʊə,j_f,0.958333333333,24
ə,uː,j_g,1.0,12
ʊə,uː,j_g,1.0,12
ə,uː,j_h,0.833333333333,48
ɪə,ə,j_h,0.25,12
ɪə,uː,j_h,0.5,12
uː,ə,j_h,0.4375,48
ə,uː,j_i,0.733333333333,30
aɪ,uː,j_k,1.0,182
ɔː,uː,j_k,1.0,182
ə,uː,j_l,0.7,60
uː,ə,j_l,0.5,12
ə,uː,j_m,0.725,40
ɒ,ə,j_m,1.0,2
ɒ,uː,j_m,1.0,20
uː,ə,j_m,0.8,10
dʒ,ɹ,i@_@U,1.0,12
ð,l,p_a,1.0,6
g,l,p_a,1.0,6
m,l,p_a,1.0,6
ɹ,l,p_a,0.833333333333,6
θ,l,p_a,1.0,6
ʊə,uː,j_p,0.9375,48
uː,ʊə,j_p,1.0,48
ɑː,uː,r_dh,1.0,4
aɪ,ɑː,r_dh,1.0,2
aɪ,uː,r_dh,1.0,2
uː,ɑː,r_dh,1.0,4
ə,ʊə,j_r,0.850490196078,816
ə,ɛə,j_r,1.0,6
ə,ɪə,j_r,0.7375,720
ʊə,ə,j_r,0.637254901961,102
ʊə,ɛə,j_r,1.0,34
ʊə,ɪə,j_r,0.8399509803919999,4080
ɛə,ə,j_r,0.666666666667,12
ɛə,ʊə,j_r,0.90625,544
ɛə,ɪə,j_r,0.71875,480
ɪə,ə,j_r,0.552083333333,96
ɪə,ʊə,j_r,0.920726102941,4352
ɪə,ɛə,j_r,1.0,32
uː,ə,j_r,0.166666666667,6
uː,ʊə,j_r,0.7573529411759999,272
uː,ɛə,j_r,1.0,2
uː,ɪə,j_r,0.7166666666670001,240
ə,ɛ,j_t,0.95,60
ə,uː,j_t,0.769696969697,660
ɛ,ə,j_t,0.525,80
ɛ,uː,j_t,0.9772727272730001,528
ɛɪ,ə,j_t,0.45,20
ɛɪ,ɛ,j_t,1.0,12
ɛɪ,uː,j_t,0.7954545454549999,132
ɪə,ə,j_t,0.45,20
ɪə,ɛ,j_t,0.75,12
ɪə,uː,j_t,0.69696969697,132
uː,ə,j_t,0.22083333333299998,240
uː,ɛ,j_t,1.0,144
ʊə,uː,j_w,1.0,12
#,ɒ,p_v,1.0,2
ə,ɒ,p_v,1.0,2
ɛɪ,ɒ,p_v,1.0,2
ʊə,ɪə,j_z,1.0,56
ʊə,uː,j_z,1.0,272
ɪə,uː,j_z,0.900735294118,2176
uː,ɪə,j_z,0.931722689076,952
ə,ɜ:,p_s,0.9916666666670001,240
ə,əʊ,p_s,1.0,144
ə,æ,p_s,0.995833333333,240
ə,ɛ,p_s,1.0,24
ə,ɛɪ,p_s,1.0,72
ə,ɪ,p_s,0.33333333333299997,24
ə,iː,p_s,1.0,144
ə,ɒ,p_s,1.0,240
ɜ:,ə,p_s,0.8969696969700001,660
ɜ:,əʊ,p_s,0.583333333333,60
ɜ:,æ,p_s,0.75,100
ɜ:,ɛ,p_s,1.0,10
ɜ:,ɛɪ,p_s,1.0,30
ɜ:,ɪ,p_s,0.6,10
ɜ:,iː,p_s,1.0,60
ɜ:,ɒ,p_s,1.0,100
əʊ,ə,p_s,0.9431818181820001,528
əʊ,ɜ:,p_s,0.75,80
əʊ,æ,p_s,0.975,80
əʊ,ɛ,p_s,1.0,8
əʊ,ɛɪ,p_s,1.0,24
əʊ,ɪ,p_s,1.0,8
əʊ,iː,p_s,1.0,48
əʊ,ɒ,p_s,1.0,80
ʊ,ə,p_s,0.9015151515150001,132
ʊ,ɜ:,p_s,0.95,20
ʊ,əʊ,p_s,0.833333333333,12
ʊ,æ,p_s,1.0,20
ʊ,ɛ,p_s,1.0,2
ʊ,ɛɪ,p_s,1.0,6
ʊ,ɪ,p_s,0.5,2
ʊ,iː,p_s,1.0,12
ʊ,ɒ,p_s,1.0,20
æ,ə,p_s,0.8803030303030001,660
æ,ɜ:,p_s,0.7,100
æ,əʊ,p_s,0.916666666667,60
æ,ɛ,p_s,1.0,10
æ,ɛɪ,p_s,1.0,30
æ,ɪ,p_s,0.7,10
æ,iː,p_s,1.0,60
æ,ɒ,p_s,1.0,100
aɪ,ə,p_s,0.9848484848479999,132
aɪ,ɜ:,p_s,1.0,20
aɪ,əʊ,p_s,0.75,12
aɪ,æ,p_s,1.0,20
aɪ,ɛ,p_s,1.0,2
aɪ,ɛɪ,p_s,0.833333333333,6
aɪ,ɪ,p_s,1.0,2
aɪ,iː,p_s,1.0,12
aɪ,ɒ,p_s,1.0,20
ɛ,ə,p_s,0.768939393939,264
ɛ,ɜ:,p_s,0.6,40
ɛ,əʊ,p_s,0.583333333333,24
ɛ,æ,p_s,0.7,40
ɛ,ɛɪ,p_s,1.0,12
ɛ,ɪ,p_s,0.0,4
ɛ,iː,p_s,1.0,24
ɛ,ɒ,p_s,1.0,40
ɛɪ,ə,p_s,0.9873737373739999,396
ɛɪ,ɜ:,p_s,1.0,60
ɛɪ,əʊ,p_s,1.0,36
ɛɪ,æ,p_s,1.0,60
ɛɪ,ɛ,p_s,1.0,6
ɛɪ,ɪ,p_s,0.833333333333,6
ɛɪ,iː,p_s,1.0,36
ɛɪ,ɒ,p_s,1.0,60
ɪ,ə,p_s,0.55303030303,264
ɪ,ɜ:,p_s,0.975,40
ɪ,əʊ,p_s,1.0,24
ɪ,æ,p_s,1.0,40
ɪ,ɛ,p_s,1.0,4
ɪ,ɛɪ,p_s,0.916666666667,12
ɪ,iː,p_s,1.0,24
ɪ,ɒ,p_s,1.0,40
iː,ə,p_s,0.9299242424240001,528
iː,ɜ:,p_s,1.0,80
iː,əʊ,p_s,1.0,48
iː,æ,p_s,1.0,80
iː,ɛ,p_s,1.0,8
iː,ɛɪ,p_s,0.958333333333,24
iː,ɪ,p_s,0.5,8
iː,ɒ,p_s,1.0,80
ɒ,ə,p_s,0.898484848485,660
ɒ,ɜ:,p_s,0.99,100
ɒ,əʊ,p_s,1.0,60
ɒ,æ,p_s,0.91,100
ɒ,ɛ,p_s,1.0,10
ɒ,ɛɪ,p_s,1.0,30
ɒ,ɪ,p_s,1.0,10
ɒ,iː,p_s,1.0,60
θ,ə,p_s,1.0,132
θ,ɜ:,p_s,1.0,20
θ,əʊ,p_s,1.0,12
θ,æ,p_s,1.0,20
θ,ɛ,p_s,1.0,2
θ,ɛɪ,p_s,1.0,6
θ,ɪ,p_s,1.0,2
θ,iː,p_s,1.0,12
θ,ɒ,p_s,1.0,20
ə,aɪ,p_p,1.0,2
ə,iː,p_p,1.0,650
ɜ:,aɪ,p_p,1.0,2
ɜ:,iː,p_p,1.0,650
æ,aɪ,p_p,1.0,2
æ,iː,p_p,1.0,650
aɪ,iː,p_p,1.0,1300
ɛɪ,aɪ,p_p,1.0,2
ɛɪ,iː,p_p,0.933846153846,650
iː,aɪ,p_p,1.0,52
ɒ,aɪ,p_p,1.0,2
ɒ,iː,p_p,1.0,650
uː,aɪ,p_p,1.0,2
uː,iː,p_p,0.975384615385,650
ʌ,aɪ,p_p,1.0,2
ʌ,iː,p_p,1.0,650
ə,ɜ:,r_dZ,1.0,4
ə,æ,r_dZ,1.0,4
ə,ɛɪ,r_dZ,1.0,4
ə,ɪ,r_dZ,0.7053571428569999,112
ə,iː,r_dZ,0.833333333333,12
ɜ:,ə,r_dZ,1.0,4
ɜ:,æ,r_dZ,1.0,4
ɜ:,ɛɪ,r_dZ,1.0,4
ɜ:,ɪ,r_dZ,0.9553571428569999,112
ɜ:,iː,r_dZ,1.0,12
æ,ə,r_dZ,1.0,4
æ,ɜ:,r_dZ,1.0,4
æ,ɛɪ,r_dZ,1.0,4
æ,ɪ,r_dZ,0.928571428571,112
æ,iː,r_dZ,1.0,12
ɛ,ə,r_dZ,0.5,2
ɛ,ɜ:,r_dZ,1.0,2
ɛ,æ,r_dZ,1.0,2
ɛ,ɛɪ,r_dZ,1.0,2
ɛ,ɪ,r_dZ,0.696428571429,56
ɛ,iː,r_dZ,0.5,6
ɛɪ,ə,r_dZ,1.0,4
ɛɪ,ɜ:,r_dZ,1.0,4
ɛɪ,æ,r_dZ,1.0,4
ɛɪ,ɪ,r_dZ,0.866071428571,112
ɛɪ,iː,r_dZ,0.833333333333,12
ɪ,ə,r_dZ,0.5625,16
ɪ,ɜ:,r_dZ,1.0,16
ɪ,æ,r_dZ,1.0,16
ɪ,ɛɪ,r_dZ,1.0,16
ɪ,iː,r_dZ,0.4375,48
iː,ə,r_dZ,0.666666666667,6
iː,ɜ:,r_dZ,1.0,6
iː,æ,r_dZ,1.0,6
iː,ɛɪ,r_dZ,1.0,6
iː,ɪ,r_dZ,0.577380952381,168
ɒ,ə,r_dZ,1.0,2
ɒ,ɜ:,r_dZ,1.0,2
ɒ,æ,r_dZ,1.0,2
ɒ,ɛɪ,r_dZ,1.0,2
ɒ,ɪ,r_dZ,0.9821428571430001,56
ɒ,iː,r_dZ,1.0,6
aʊ,ð,p_@,0.713333333333,150
aʊ,iː,p_@,0.990476190476,210
aʊ,l,p_@,1.0,10
aʊ,m,p_@,1.0,60
aʊ,ɹ,p_@,0.884736842105,1900
aʊ,s,p_@,1.0,10
aʊ,t,p_@,1.0,30
aʊ,tʃ,p_@,1.0,10
ð,aʊ,p_@,1.0,120
ð,iː,p_@,0.972222222222,252
ð,l,p_@,1.0,12
